iter	RMSE
0	568192.1804
1	552078.9752
2	537057.8013
3	522959.07
4	509821.0622
5	497442.3577
6	485534.6421
7	475574.478
8	464685.1731
9	454717.9321
10	445049.4745
11	436327.5024
12	427809.984
13	420201.5047
14	413552.2734
15	406554.6855
16	400708.0917
17	395403.5835
18	390161.0946
19	385348.7531
20	380447.5171
21	377049.5445
22	373729.8133
23	369600.041
24	365890.2163
25	362460.5706
26	359373.9746
27	356222.8964
28	353650.2978
29	350858.9088
30	347719.613
31	346175.4518
32	343940.4397
33	342403.5575
34	339938.4816
35	338006.1307
36	336276.615
37	334348.2156
38	333155.7584
39	331628.0041
40	330110.6141
41	328854.5301
42	327568.3509
43	326626.4417
44	325249.7142
45	324009.8856
46	322389.4566
47	321107.1108
48	320197.4007
49	319243.6252
50	318480.0663
51	317210.2242
52	315897.8772
53	315416.9635
54	314731.0951
55	313658.0492
56	312901.2869
57	312112.8291
58	311562.2482
59	311082.9544
60	310471.0387
61	310028.4443
62	308977.068
63	308483.971
64	307453.1916
65	306985.9813
66	306356.9266
67	305983.5196
68	305226.0297
69	304942.5204
70	304204.575
71	303847.1242
72	303239.4549
73	302730.8939
74	302562.0931
75	302316.1656
76	301696.1665
77	301323.685
78	300515.4261
79	299877.9499
80	299360.9092
81	298958.9263
82	298651.8022
83	298195.3517
84	297533.0585
85	297000.5919
86	296865.4949
87	296291.5527
88	295818.444
89	295461.7871
90	295169.303
91	294803.9279
92	294461.3955
93	293831.6583
94	293631.69
95	293432.1563
96	293315.5882
97	293248.9687
98	292799.739
99	292705.1877
100	292617.8193
101	292527.827
102	292219.128
103	292015.5488
104	291994.9405
105	291701.4629
106	291053.6852
107	290736.1899
108	290389.9282
109	290025.0172
110	289863.4627
111	289827.2287
112	289596.762
113	289084.3581
114	288631.0714
115	288384.9198
116	288311.9664
117	288285.0414
118	288202.504
119	288056.8608
120	287306.835
121	286928.3827
122	286578.3297
123	286499.3121
124	286264.7392
125	286046.1554
126	286003.9162
127	285532.5009
128	285493.7203
129	285421.1506
130	285292.4532
131	284779.7228
132	284490.5795
133	284430.7222
134	284395.5625
135	283883.455
136	283691.7058
137	283573.0522
138	283457.0985
139	283417.2322
140	283002.1502
141	282754.799
142	282408.6979
143	282284.0283
144	281722.7452
145	281671.1221
146	281261.585
147	281023.348
148	280841.2352
149	280634.4436
150	280322.8031
151	279992.7648
152	279885.0207
153	279493.7924
154	279349.4321
155	278948.0303
156	278536.5165
157	278286.0684
158	278186.1622
159	278089.7626
160	277492.6978
161	277442.4591
162	277018.2043
163	276684.7752
164	276415.1126
165	276320.2123
166	275941.8683
167	275889.6414
168	275853.8551
169	275500.2037
170	275427.8392
171	275380.2445
172	275278.7654
173	275234.8194
174	274995.726
175	274646.5979
176	274393.8076
177	274302.2476
178	273975.7693
179	273594.675
180	273372.7026
181	273223.6317
182	273103.5546
183	272732.8308
184	272417.4999
185	272127.2452
186	271816.9393
187	271401.7318
188	271230.55
189	270903.658
190	270836.5107
191	270582.1144
192	270435.9175
193	270384.5076
194	270238.0717
195	270103.9726
196	270026.9078
197	269772.4605
198	269526.2807
199	269355.7378
200	269014.9566
201	268795.7485
202	268525.4053
203	268330.0549
204	268179.3106
205	268120.9807
206	267944.403
207	267722.8439
208	267502.9193
209	267337.5273
210	267196.2422
211	267142.5378
212	266932.2587
213	266729.7345
214	266679.0899
215	266481.8219
216	266226.3582
217	265975.8942
218	265770.2171
219	265653.3341
220	265588.4102
221	265402.5403
222	265114.0716
223	264932.9526
224	264831.8456
225	264785.3958
226	264600.0637
227	264335.5294
228	264046.46
229	264001.8292
230	263821.7302
231	263651.1916
232	263375.5126
233	263144.2718
234	263107.2865
235	262883.5036
236	262824.2981
237	262373.1107
238	262315.6864
239	261937.6306
240	261737.5056
241	261697.403
242	261676.067
243	261438.902
244	261340.7365
245	261113.5609
246	260724.1771
247	260603.5456
248	260491.608
249	260267.9776
250	260104.1826
251	259920.2043
252	259713.1577
253	259601.628
254	259458.3204
255	259331.6303
256	259138.558
257	259092.6274
258	258688.8091
259	258605.8571
260	258371.7483
261	258252.7453
262	258225.5789
263	258024.3618
264	257640.6177
265	257622.76
266	257441.4754
267	257420.3813
268	257336.479
269	257255.5864
270	257083.118
